Theme,Topic,Origin,Reverse,Questions,Target,Flattened Target,Thai,
Benchmarks (360 Degree Assessment) for Managers and Executives: Center for Creative Leadership,,,,,,,,
Leading Organization,Strategic Planning,E,FALSE,Regularly updates plans to reflect changing circumstances.,Executive,Executive,คอยอัปเดตแผนงานให้ทันต่อสถานการณ์ที่เปลี่ยนแปลงอยู่เสมอ,
,,E,FALSE,Translates his or her vision into realistic business strategies.,,Executive,สามารถเปลี่ยนวิสัยทัศน์ (Vision) ให้กลายเป็นกลยุทธ์ที่ทำได้จริง,
,,E,FALSE,Weighs the concerns of all relevant business functions when developing plans.,,Executive,รับฟังและพิจารณาข้อกังวลของทุกฝ่ายที่เกี่ยวข้องในการวางแผนงาน,
,,E,FALSE,"Articulates wise, long-term objectives and strategies.",,Executive,สามารถถ่ายทอดเป้าหมายและกลยุทธ์ระยะยาวได้อย่างชาญฉลาดและเห็นภาพ,
,,E,FALSE,Develops plans that balance long-term goals with immediate organizational needs.,,Executive,วางแผนโดยรักษาสมดุลระหว่างเป้าหมายระยะยาวและความต้องการเร่งด่วนขององค์กร,
,,E,FALSE,Develops plans that contain contingencies for future changes.,,Executive,เตรียมแผนสำรองไว้ล่วงหน้าเพื่อรองรับการเปลี่ยนแปลงในอนาคต,
,,E,FALSE,Successfully integrates strategic and tactical planning.,,Executive,สามารถเชื่อมแผนกลยุทธ์ (แผนระยะยาว) เข้ากับแผนปฏิบัติการ (แผนระยะกลาง) ได้อย่างลงตัวและมีประสิทธิภาพ,
,Strategic Perspective,M,FALSE,Does his/her homework before making a proposal to top management.,Mid-level/Senior Managers,Mid-level/Senior Managers,เตรียมตัวและทำการบ้านมาอย่างดีก่อนนำเสนองานต่อผู้บริหารระดับสูง,
,,M,FALSE,"Works effectively with higher management (e.g., presents to them, persuades them, and stands up to them if necessary).",,Mid-level/Senior Managers,ทำงานร่วมกับผู้บริหารระดับสูงได้อย่างมีประสิทธิภาพ (เช่น กล้านำเสนอ โน้มน้าว และยืนหยัดในสิ่งที่ถูกต้อง),
,,M,FALSE,Links his/her responsibilities with the mission of the whole organization.,,Mid-level/Senior Managers,เชื่อมโยงบทบาทความรับผิดชอบของตนเองเข้ากับพันธกิจขององค์กรได้ชัดเจน,
,,M,FALSE,"Once the more glaring problems in an assignment are solved, can see the underlying problems and patterns that were obscured before.",,Mid-level/Senior Managers,เมื่อแก้ปัญหาที่เห็นชัด ๆ ในงานไปแล้ว สามารถมองเห็นสาเหตุที่แท้จริงและรูปแบบของปัญหาที่ซ่อนอยู่เบื้องลึกได้,
,,M,FALSE,"Understands higher management values, how higher management operates, and how they see things.",,Mid-level/Senior Managers,เข้าใจค่านิยม วิธีการทำงาน และมุมมองของผู้บริหารระดับสูงเป็นอย่างดี,
